city,area,issue_type,department_name,phone,email
Hyderabad,Kukatpally,pothole_road_damage,GHMC Roads & Buildings – Kukatpally,040-2326-0001,roads.kukatpally@ghmc.gov.in
Hyderabad,Kukatpally,garbage,GHMC Sanitation – Kukatpally,040-2326-0002,sanitation.kukatpally@ghmc.gov.in
Hyderabad,Kukatpally,sewage_overflow,GHMC Sewerage – Kukatpally,040-2326-0003,sewer.kukatpally@ghmc.gov.in
Hyderabad,Kukatpally,waterlogging,GHMC Disaster Management – Kukatpally,040-2326-0004,disaster.kukatpally@ghmc.gov.in
Hyderabad,Kukatpally,streetlight_or_electricity,GHMC Electrical Wing – Kukatpally,040-2326-0005,power.kukatpally@ghmc.gov.in
Hyderabad,Kukatpally,others,GHMC General Grievance – Kukatpally,040-2326-0006,grievance.kukatpally@ghmc.gov.in
Hyderabad,Mehdipatnam,pothole_road_damage,GHMC Roads & Buildings – Mehdipatnam,040-2326-1001,roads.mehdipatnam@ghmc.gov.in
Hyderabad,Mehdipatnam,garbage,GHMC Sanitation – Mehdipatnam,040-2326-1002,sanitation.mehdipatnam@ghmc.gov.in
Hyderabad,Mehdipatnam,sewage_overflow,GHMC Sewerage – Mehdipatnam,040-2326-1003,sewer.mehdipatnam@ghmc.gov.in
Hyderabad,Mehdipatnam,waterlogging,GHMC Disaster Management – Mehdipatnam,040-2326-1004,disaster.mehdipatnam@ghmc.gov.in
Hyderabad,Mehdipatnam,streetlight_or_electricity,GHMC Electrical Wing – Mehdipatnam,040-2326-1005,power.mehdipatnam@ghmc.gov.in
Hyderabad,Mehdipatnam,others,GHMC General Grievance – Mehdipatnam,040-2326-1006,grievance.mehdipatnam@ghmc.gov.in
Hyderabad,LB Nagar,pothole_road_damage,GHMC Roads & Buildings – LB Nagar,040-2326-2001,roads.lbnagar@ghmc.gov.in
Hyderabad,LB Nagar,garbage,GHMC Sanitation – LB Nagar,040-2326-2002,sanitation.lbnagar@ghmc.gov.in
Hyderabad,LB Nagar,sewage_overflow,GHMC Sewerage – LB Nagar,040-2326-2003,sewer.lbnagar@ghmc.gov.in
Hyderabad,LB Nagar,waterlogging,GHMC Disaster Management – LB Nagar,040-2326-2004,disaster.lbnagar@ghmc.gov.in
Hyderabad,LB Nagar,streetlight_or_electricity,GHMC Electrical Wing – LB Nagar,040-2326-2005,power.lbnagar@ghmc.gov.in
Hyderabad,LB Nagar,others,GHMC General Grievance – LB Nagar,040-2326-2006,grievance.lbnagar@ghmc.gov.in
Hyderabad,Uppal,pothole_road_damage,GHMC Roads & Buildings – Uppal,040-2326-3001,roads.uppal@ghmc.gov.in
Hyderabad,Uppal,garbage,GHMC Sanitation – Uppal,040-2326-3002,sanitation.uppal@ghmc.gov.in
Hyderabad,Uppal,sewage_overflow,GHMC Sewerage – Uppal,040-2326-3003,sewer.uppal@ghmc.gov.in
Hyderabad,Uppal,waterlogging,GHMC Disaster Management – Uppal,040-2326-3004,disaster.uppal@ghmc.gov.in
Hyderabad,Uppal,streetlight_or_electricity,GHMC Electrical Wing – Uppal,040-2326-3005,power.uppal@ghmc.gov.in
Hyderabad,Uppal,others,GHMC General Grievance – Uppal,040-2326-3006,grievance.uppal@ghmc.gov.in
