text,label
Badly damaged road causing waterlogging in potholes near Bowenpally. Please send someone to fix this soon.,pothole_road_damage
Waterlogging near Charminar near railway crossing is causing traffic problems. Kindly look into this matter at the earliest.,waterlogging
Waterlogged area near Jubilee Hills becoming breeding ground for mosquitoes. This is affecting daily commuters and pedestrians.,waterlogging
Huge road damage near Secunderabad. Bikers cannot pass safely. Immediate repair is required.,pothole_road_damage
No pedestrian crossing at busy lane in Banjara Hills. This is a hazard and needs urgent attention.,others
Transformer near Habsiguda is sparking at night. Fire hazard. No one has responded even after multiple complaints.,streetlight_or_electricity
Sewage mixed with rain water on colony road near SR Nagar. Children and elderly are at risk.,sewage_overflow
Water submerged road near Khairatabad metro station road is impassable. Children and elderly are at risk.,waterlogging
Uncollected garbage has been lying near Madhapur since yesterday. Children and elderly are at risk.,garbage
"No proper drainage in Kompally, every rain causes water accumulation. This is becoming a serious public health problem.",waterlogging
Street lamps in Kompally are all off. Women feel unsafe at night. No one has responded even after multiple complaints.,streetlight_or_electricity
Street lamp near near signal in Lakdikapul is flickering and not stable. No one has responded even after multiple complaints.,streetlight_or_electricity
Roads submerged in water in Nampally. Vehicles stuck. This is becoming a serious public health problem.,waterlogging
A huge crater has formed on the highway stretch in Tarnaka. This issue is causing a lot of inconvenience to residents.,pothole_road_damage
Road condition is very poor with cuts and pits on highway stretch in Tolichowki. This is a hazard and needs urgent attention.,pothole_road_damage
Boundary wall collapsed near main road in Chintal. This is becoming a serious public health problem.,others
All lights in Kukatpally colony are not working since the heavy rains. Please take immediate action.,streetlight_or_electricity
Unauthorized parking blocking beside flyover in Nagole. This is a hazard and needs urgent attention.,others
Sewage is overflowing on the main road in Ramanthapur. This problem has been ignored for many days.,sewage_overflow
The asphalt has completely broken on temple street near Erragadda. Children and elderly are at risk.,pothole_road_damage
Vehicles submerged due to heavy waterlogging in Hitech City. Please take immediate action.,waterlogging
Bulb fused in street light near Miyapur market area. Not replaced. This needs to be addressed before someone gets hurt.,streetlight_or_electricity
Flooded street in Khairatabad due to choked drainage. This problem has been ignored for many days.,waterlogging
Ankle-deep water on lane in KPHB Colony since last night. Please take immediate action.,waterlogging
Noise pollution from loudspeaker near KPHB Colony for many days. This problem has been ignored for many days.,others
Footpath encroachment by vendors near near railway crossing in Bowenpally. No one has responded even after multiple complaints.,others
Public toilet near Manikonda metro station road is not maintained. This problem has been ignored for many days.,others
No pedestrian crossing at busy near railway crossing in Vanasthalipuram. No one has responded even after multiple complaints.,others
Residents of Tolichowki unable to step out due to sewage overflow. Please send someone to fix this soon.,sewage_overflow
Electric wires are hanging dangerously near metro station road in KPHB Colony. Children and elderly are at risk.,streetlight_or_electricity
The road near Gachibowli near bus stop has multiple deep potholes. We have been waiting for a long time.,pothole_road_damage
There is a lot of garbage accumulated near the market area in Hayathnagar. We have been waiting for a long time.,garbage
"Street light timer fault in Erragadda, lights turn off at 9 PM itself. We have been waiting for a long time.",streetlight_or_electricity
There is complete darkness at night due to faulty street light in Moosapet. People are suffering due to this negligence.,streetlight_or_electricity
Blocked drain near Hayathnagar causing sewage to overflow on street. This needs to be addressed before someone gets hurt.,sewage_overflow
Sewage water flowing on cross road in Manikonda for over a month. This needs to be addressed before someone gets hurt.,sewage_overflow
The near signal in Gachibowli is in terrible condition with road damage everywhere. This is becoming a serious public health problem.,pothole_road_damage
All lights in Hayathnagar colony are not working from the last 2 weeks. Immediate repair is required.,streetlight_or_electricity
Mosquito breeding is increasing due to sewage overflow in Serilingampally. No one has responded even after multiple complaints.,sewage_overflow
Knee-deep water in Habsiguda locality after yesterday's rain. Immediate repair is required.,waterlogging
Dirty drain water is entering homes in LB Nagar. Please send someone to fix this soon.,sewage_overflow
The gutter near near signal in Secunderabad is blocked and overflowing. This issue is causing a lot of inconvenience to residents.,sewage_overflow
Nala near Kompally is overflowing with sewage and waste water. People are suffering due to this negligence.,sewage_overflow
Several street lights are not working in Ameerpet. No one has responded even after multiple complaints.,streetlight_or_electricity
Noise pollution from loudspeaker near Ameerpet for many days. We have been waiting for a long time.,others
Filth everywhere near the market in Madhapur. Garbage not cleaned. People are suffering due to this negligence.,garbage
Construction debris dumped near junction in Rajendranagar. This is becoming a serious public health problem.,garbage
